"Job_ID","Pipeline_ID","Scan_Type","Severity","Vulnerability_Count","Arrival_Time_Min","Service_Time_Min","Risk_Score","Developer_Experience","Code_Change_Size","Severity_Score","Vulnerability_Normalized","Risk_Normalized","Waiting_Factor","GatekeeperX_Priority_Score","Priority_Class","Security_Decision","Queue_Position","Service_Start_Time","Completion_Time","Actual_Waiting_Time","Turnaround_Time","Dynamic_Priority","Simulation_Queue_Position","Simulation_Status"
1,"PL-0049","SAST","High",8,0.11,5.61,84.03,"Junior","Medium",75,50,84.03,0.00438446146855544,64.76,"P2 - High","WAIT / PRIORITIZE",256,0.11,5.72,0,5.61,64.76,1,"Completed"
2,"PL-0153","SCA","Medium",3,0.34,2.17,48.76,"Senior","Large",50,18.75,48.76,0.0135519718118986,38.44,"P4 - Low","PASS WITH MONITORING",714,5.72,7.89,5.38,7.55,41.13,2,"Completed"
3,"PL-0074","SAST","Medium",2,2.28,2.71,53.39,"Intermediate","Small",50,12.5,53.39,0.0908779286209673,38.36,"P4 - Low","PASS WITH MONITORING",717,7.89,10.6,5.61,8.32,41.16,3,"Completed"
4,"PL-0228","SAST","Low",1,3.99,3.78,27.6,"Junior","Large",25,6.25,27.6,0.159036375086693,19.42,"P4 - Low","PASS",977,10.6,14.38,6.61,10.39,22.73,4,"Completed"
5,"PL-0146","IaC","Low",4,13.04,4.17,18.74,"Junior","Small",25,25,18.74,0.519757977726936,20.99,"P4 - Low","PASS",946,125.76,129.93,112.72,116.89,77.35,28,"Completed"
6,"PL-0122","SCA","Medium",4,13.48,3.13,36.54,"Junior","Small",50,25,36.54,0.537295823601157,36.69,"P4 - Low","PASS",738,14.38,17.51,0.9,4.03,37.14,5,"Completed"
7,"PL-0049","SCA","Medium",5,14.71,3.04,41.73,"Senior","Medium",50,31.25,41.73,0.586322074567732,39.24,"P4 - Low","PASS WITH MONITORING",695,47.83,50.87,33.12,36.16,55.8,12,"Completed"
8,"PL-0128","DAST","High",5,16.42,7.19,74.06,"Junior","Medium",75,31.25,74.06,0.654480521033457,58.58,"P3 - Medium","WAIT / PRIORITIZE",334,17.51,24.7,1.09,8.28,59.12,6,"Completed"
9,"PL-0024","SAST","Medium",2,18.02,5.11,61.09,"Intermediate","Medium",50,12.5,61.09,0.718254506030627,40.34,"P3 - Medium","PASS WITH MONITORING",673,50.87,55.98,32.85,37.96,56.76,13,"Completed"
10,"PL-0089","SAST","Medium",2,18.97,3.68,43.38,"Junior","Small",50,12.5,43.38,0.756120309622697,35.92,"P4 - Low","PASS WITH MONITORING",742,61.95,65.63,42.98,46.66,57.41,15,"Completed"
